title,source_name,title_sentiment,desc_sentiment,title_length,title_word_count,desc_length,desc_word_count,source_reach,publishedAt
The economy keeps adding jobs. Many job seekers still feel stuck.,Business Insider,0.5,0.07777777777777777,65,11,150,24,2,2026-06-14 09:03:01+00:00
"Laid off from her dream tech job, woman says it was the best thing that happened to her. 'My hair stopped falling out'",The Times of India,1.0,0.049999999999999996,118,23,260,45,8,2026-06-12 18:25:56+00:00
‘We’ve been left to rot’: Inside Britain’s new ‘Bedroom Generation’,Dazed,0.06818181818181818,0.05,67,10,170,30,1,2026-06-12 10:46:00+00:00
Summer work in short supply for students amid weakened job market,CBC News,0.0,0.3090909090909091,65,11,199,34,2,2026-06-12 09:00:00+00:00
"Why AI hasn't replaced software engineers, and won't",Normaltech.ai,0.0,0.15,52,8,34,5,1,2026-06-11 07:51:17+00:00
Republicans move to gut child labor protections,Raw Story,0.0,0.02,47,7,260,45,1,2026-06-10 19:35:36+00:00
Half Of Americans Now Afraid They’ll Lose Their Jobs To AI,The Daily Caller,-0.3833333333333333,-0.45555555555555555,58,11,159,24,1,2026-06-10 14:46:48+00:00
Increasing Employment in Pre-Retirement Years Slows Cognitive Decline,Nakedcapitalism.com,0.0,0.0,69,8,141,25,1,2026-06-10 13:55:34+00:00
South Africa’s jobs crisis: what 10 years of tax data tells us,The Conversation Africa,0.0,0.25,62,12,158,29,2,2026-06-10 13:20:17+00:00
Don’t Blame Old People For American Decline,The New Republic,0.05,0.04851190476190476,43,7,260,41,1,2026-06-10 10:00:00+00:00
Expert to Black America: You Can ‘Future-Proof’ Your Job As AI Threatens the Market,The Root,-0.16666666666666666,-0.06666666666666665,83,14,260,38,1,2026-06-10 07:22:33+00:00
Analysis-China Inc deploys 'quiet' layoffs as Beijing promotes AI adoption,Yahoo Entertainment,0.0,0.0035714285714285657,74,10,159,25,3,2026-06-10 06:16:10+00:00
Meta launches $115M America’s Workforce Academy to train future technicians with guaranteed jobs,Crypto Briefing,0.0,0.09659090909090909,96,13,260,36,8,2026-06-09 22:36:59+00:00
Inflation drives rate-cut debate at Warsh's first Fed meeting,TheStreet,0.25,0.225,61,9,160,25,2,2026-06-09 21:17:00+00:00
"Bay of Plenty records highest unemployment rate in New Zealand, national average dips",New Zealand Herald,-0.0068181818181818205,0.5,85,13,78,10,1,2026-06-09 18:00:00+00:00
Global Hiring Outlook Holds Steady in Q3 With Mid-Size Employers Showing Most Optimism,PRNewswire,0.2222222222222222,0.14444444444444443,86,13,260,37,7,2026-06-09 13:31:00+00:00
Flexi-staffing industry in India sees 8% YoY growth in new employment in 2025-26: ISF report,The Times of India,0.13636363636363635,0.4666666666666667,92,15,260,36,8,2026-06-09 12:55:19+00:00
The man behind Claude Code says you’re comparing AI costs to the wrong thing,Fortune,-0.45,0.0,76,14,93,14,2,2026-06-09 10:37:11+00:00
A Christian response to the crisis facing young people,Christiantoday.com,0.05,0.55,54,9,173,30,1,2026-06-09 09:03:00+00:00
Indian employers turn cautious over hiring in July-Sep amid global uncertainties: Report,BusinessLine,0.0,0.037500000000000006,88,12,134,18,4,2026-06-09 08:43:39+00:00
"What sort of workforce are graduates entering, and what do they need to know?",The Irish Times,0.0,0.0,77,14,116,18,3,2026-06-09 05:01:00+00:00
Half of graduates earn LESS than the median national wage 5 years after leaving university,Dailymail.com,-0.16666666666666666,0.09375,90,15,135,23,2,2026-06-08 21:01:11+00:00
Conference Board Says Easier Hiring Signals Upcoming Labor Market Weakness,pymnts.com,0.0,0.25,74,10,260,42,1,2026-06-08 18:41:20+00:00
Trump says Fed rate increase would be wrong after jobs report,Crypto Briefing,-0.5,-0.016666666666666663,61,11,260,38,8,2026-06-08 14:38:46+00:00
"Her Husband Can't Keep A Job, But They Decided To Buy A House. 'Haven't Even Closed Yet And I Already Know We're Going To Go Into Foreclosure'",Yahoo Entertainment,-0.1,0.1708333333333333,142,27,158,28,3,2026-06-08 13:46:09+00:00
"Executives are cutting jobs for an AI future that hasn't fully arrived yet, even as productivity gains remain difficult to prove — data neither confirms nor refutes an AI unemployment apocalypse",Tom's Hardware UK,-0.3666666666666667,0.22499999999999998,194,31,186,28,1,2026-06-08 11:20:00+00:00
"Sensex today | Stock Market Highlights: Sensex settles at 73,524.26, down 719.08 pts (0.97%); Nifty ends at 23,123, down 243.70 pts (1.04%)",BusinessLine,-0.15555555555555559,-0.19,139,22,187,29,4,2026-06-08 10:28:12+00:00
UK gov's answer to AI job fears: An AI bot to polish your CV,Theregister.com,0.0,0.5,60,14,75,11,3,2026-06-08 10:02:00+00:00
Department of Work and Pensions' answer to AI job fears is a bot to polish your CV,Theregister.com,0.0,0.0,82,17,134,18,3,2026-06-08 10:02:00+00:00
UK's answer to AI job fears is a bot to polish your CV,Theregister.com,0.0,0.0,54,13,134,18,3,2026-06-08 10:02:00+00:00
Apna eyes ₹150 crore revenue from AI-led push for India’s 300 million blue-collar workers,BusinessLine,0.0,0.0,89,14,117,15,4,2026-06-08 06:12:09+00:00
The 'Living Wage' Attack on Jobs and Prosperity,Reason,0.0,0.25,47,8,131,20,1,2026-06-07 23:34:56+00:00
"AI and the reinvention of work: Why some sectors are hiring more, not less",Digital Journal,0.2916666666666667,0.20666666666666664,74,14,234,42,2,2026-06-07 19:27:18+00:00
"US labor market adds 172,000 jobs in May, but job seekers face longer unemployment",Crypto Briefing,0.0,0.225,82,14,260,37,8,2026-06-07 16:43:54+00:00
"As firms go AI-native, scrutiny grows over AI-linked job cuts",BusinessLine,0.0,0.0,61,10,181,27,4,2026-06-07 14:50:21+00:00
Algorithmic Monocultures in Hiring,Github.io,0.0,0.0,34,4,0,0,1,2026-06-07 05:47:02+00:00
Is Cybersecurity Hard? Honest Career Guide for 2026,Smashingapps.com,0.15416666666666665,0.17708333333333334,51,8,159,27,1,2026-06-06 21:54:10+00:00
New U.S. college grads now have higher unemployment than the average worker,Randalolson.com,0.07878787878787878,-0.06666666666666667,75,12,151,27,1,2026-06-06 20:35:40+00:00
"Julian Jessop: Weak productivity growth since the financial crisis, the AI revolution will drive economic expansion, and excessive regulation hinders corporate performance | The Peter McCormack Show",Crypto Briefing,-0.08499999999999999,0.10499999999999998,198,27,260,36,8,2026-06-06 19:16:12+00:00
