state,gender,year,name,number
AL,F,1910,Lillian,99
AL,F,1910,Ruby,204
AL,F,1910,Helen,76
AL,F,1910,Eunice,41
AR,F,1910,Dora,42
CA,F,1910,Edna,62
CA,F,1910,Helen,239
CO,F,1910,Alice,46
FL,F,1910,Willie,71
FL,F,1910,Thelma,65
FL,F,1910,Ida,42
GA,F,1910,Viola,89
GA,F,1910,Laura,88
GA,F,1910,Frances,143
IA,F,1910,Alice,104
IA,F,1910,Louise,52
IA,F,1910,Bernice,57
IA,F,1910,Gladys,98
IL,F,1910,Anna,370
IL,F,1910,Harriet,79
IL,F,1910,Eva,90
IL,F,1910,Adeline,54
IL,F,1910,Nellie,81
IN,F,1910,Doris,38
KY,F,1910,Flora,67
KY,F,1910,Viola,54
KY,F,1910,Geneva,40
KY,F,1910,Louise,90
LA,F,1910,Frances,63
LA,F,1910,Thelma,98
MA,F,1910,Ethel,105
MA,F,1910,Alice,313
MA,F,1910,Grace,135
MA,F,1910,Jean,40
MO,F,1910,Fern,39
MS,F,1910,Inez,43
MS,F,1910,Sarah,101
ND,F,1910,Gladys,50
NE,F,1910,Lucille,50
NE,F,1910,Esther,67
NJ,F,1910,Elsie,60
NJ,F,1910,Agnes,69
NM,F,1910,Maria,40
NY,F,1910,Elizabeth,579
NY,F,1910,Gertrude,380
NY,F,1910,Jessie,51
NY,F,1910,Nellie,55
OH,F,1910,Doris,97
OK,F,1910,Hazel,114
OK,F,1910,Emma,49
OK,F,1910,Eva,50
OR,F,1910,Mary,54
PA,F,1910,Lucy,80
SC,F,1910,Ethel,143
SC,F,1910,Annie,305
SC,F,1910,Minnie,93
TN,F,1910,Dorothy,102
TX,F,1910,Willie,260
TX,F,1910,Flora,40
TX,F,1910,Stella,69
TX,F,1910,Esther,69
TX,F,1910,Erma,38
TX,F,1910,Katie,58
VA,F,1910,Myrtle,74
VA,F,1910,Josephine,52
WI,F,1910,Lucille,75
WI,F,1910,Louise,48
WI,F,1910,Dorothy,207
WV,F,1910,Anna,88
WV,F,1910,Margaret,115
WV,F,1910,Eva,49
AL,F,1911,Mattie,209
AL,F,1911,Ada,41
AR,F,1911,Edith,60
AR,F,1911,Dorothy,75
CA,F,1911,Lucille,47
CT,F,1911,Mildred,79
CT,F,1911,Louise,43
DE,F,1911,Mary,49
FL,F,1911,Florence,38
GA,F,1911,Gussie,46
GA,F,1911,Lottie,43
IL,F,1911,Victoria,43
IL,F,1911,Leona,85
IL,F,1911,Anne,111
IL,F,1911,Sophie,62
IN,F,1911,Ethel,80
KY,F,1911,Evelyn,68
KY,F,1911,Carrie,52
KY,F,1911,Maggie,42
